title,description,value
Portal de Cotação de combustível de postos e avaliações,"Preciso desenvolver um portal, como se fosse um ""mapa"" de postos de combustível no brasil, onde o usuário consiga encontrar o mais próximo por distancia ou por algumas considerações em pesquisas, como por exemplo, o mais próximo que tenha loja conveniência, e assim por diante. E também o usuário do... Ver mais detalhes  app, poder avaliar os postos, atendimento, limpeza, entre outros.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Criar um novo site personalizadoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc), Payment Processor (Paypal, Stripe, etc)Funções necessárias: Desenvolvedor, Designer, Gerente de projetos, Analista de negócios colapsar",R$ 2.700 - 5.000
"Loja virtual comércio local Delivery, baseado Mercus Varejo.","Loja virtual para delivery diversos, varejo de rua local. Baseado no recém lançado Mercus Varejo. https://mercos.com/varejo/  preciso bem idêntico, em relação ao recursos, facilidade de uso, sem bugs. 
Após o desenvolvimento, vou recontratar pra integrar a um sistema de vendas em PHP que... Ver mais detalhes  temos. O link a seguir tem uma apresentação do sistema, https://youtu.be/DnCiOqqPfmU#t=44 - antes de fazer uma proposta, faça o teste gratuito, conheça a ferramenta, veja o video, veja se consegue desenvolver. Faca a proposta, mande portfolio. 
Contratação rápida, objetiva, parceria duradoura.  Vou responder todos profissionais que mandar portifolio com imagens. Um abraço e ate breve..  https://mercos.com/varejo / https://youtu.be/DnCiOqqPfmU#t=44.Categoria: TI e ProgramaçãoSubcategoria: Lojas Virtuais (e-commerce)Qual é o alcance do projeto?: Criar uma nova loja onlineIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioFunções necessárias: Designer, Desenvolvedor colapsar",R$ 2.700 - 5.000
Preciso adicionar o sistema dos correios e meio de pagamento gerenc...,"Boa tarde, tenho um marketplace onde vendedores tem a opçao de cria suas lojas virtuais para venderem seus produtos, só que a loja não tem o sistema dos correios. Loja conta com um painel de cliente com acesso a um painel de vendedor, caso o admin aprove para ser vendedor, só que a loja utiliza o... Ver mais detalhes  meio de pagamento só paypal e gostaria de adicionar gerencia net integrado por api. O link do site é estoquistaonline.com.br ela esta em fase de finalização de tradução.Categoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor, OutroOutras funções necessárias: Especialista em integração api colapsar",R$ 1.400 - 2.700
App de mobilidade,"Eu gostaria de um app exatamente igual ao da uber com o diferencial de escolha entre Carro ou Moto . ÚNica modificação. Um app com o mapa inicial de apenas uma cidade com capacidade de extensão para cidades vizinhas , com opção de pagamento direto na conta do pagseguro ou PayPal .Categoria: TI e... Ver mais detalhes  ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioPlataformas exigidas: Android, iPhoneEu preciso: Criar um appTipo de aplicativo: OutroPrecisa de back-end: SimGateway de pagamento: Sim colapsar",R$ 1.400 - 2.700
App para Restaurante e afins para que o Garçon possa realizar os pe...,"Preciso desenvolver um APP para estabelecimento no seguimento de restaurantes, onde este app é instalado no smartphone, e o garçom consiga realizar os pedidos dos clientes, e este mesmo app consiga se comunicar com o meu software de retaguarda através de arquivos ou até mesmo banco de dados, ai... Ver mais detalhes  depende da analise entre nós.Categoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Criar um novo aplicativoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioPlataformas exigidas: Android, iPhoneEu preciso: Criar um appTipo de aplicativo: Promoção - Aplicativo para promover o seu negócio/empresaApps similares: MercadoLivrePrecisa de back-end: NãoGateway de pagamento: Não colapsar",R$ 5.000 - 16.000
Tratamento de dados da Bolsa de Valores,"Desenvolvimento de app, acessado pela internet através da minha aérea de membros, que mostra de forma visual o tratamento de alguns dados em realtime provenientes do market data da Bolsa de Valores.  
Criação de um indicador costumizado que é mostrado em página web.Categoria: TI e Programação... Ver mais detalhes Subcategoria: ProgramaçãoQual é o alcance do projeto?: Alteração médiaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho especificaçõesDisponibilidade requerida: Conforme necessárioIntegrações de API: Outros (Outras APIs)Funções necessárias: Desenvolvedor colapsar",R$ 2.700 - 5.000
Aplicativo de Aluguel por assinatura,"Preciso de um aplicativo que seja desenvolvido em flutter para android e IOS, o sistema é bem simples a pessoa escolhe o produto que deseja alugar, paga o valor da assinatura de acordo com plano seja trimestral, semestral ou anual, controle o tempo assinado e que seja integrado com formas de... Ver mais detalhes  pagamentos online (cartão) com a possibilidade de renovação,  opção de abertura de sinistro com fotos ou vídeos ( caso ocorra), visualização do contrato, da vistoria realizada na retirada e a opção do usuário fazer a vistoria online na entrega. 
Precisa ser desenvolvido o site de controle administrativo, com usuários cadastrados, plano assinado e etc.Categoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Criar um novo aplicativoIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioPlataformas exigidas: Android, iPhoneEu preciso: Criar um appTipo de aplicativo: OutroApps similares: OutroPrecisa de back-end: SimGateway de pagamento: Sim colapsar",R$ 5.000 - 16.000
Módulo nfe magento,"Desenvolver um módulo completo e funcional para agilizar a emissão de notas fiscais de produtos aprovados, deverá ser emitida selecionando um único pedido ou vários pedidos, emitindo as respectivas notas individuaisCategoria: TI e ProgramaçãoSubcategoria: ProgramaçãoQual é o alcance do projeto?:... Ver mais detalhes  Bug ou alteração pequenaIsso é um projeto ou uma posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioFunções necessárias: Desenvolvedor colapsar",R$ 500 - 1.400
Mu Online,"tenho um servidor de mu online para computador,  queria saber se tem possibilidade de criar um App para poder jogar do celular também?Categoria: TI e ProgramaçãoSubcategoria: Programação de Apps para Android, iOS e outrosQual é o alcance do projeto?: Criar um novo aplicativoIsso é um projeto... Ver mais detalhes  ou uma posição de trabalho?: Um projetoTenho, atualmente: Não se aplicaDisponibilidade requerida: Conforme necessárioPlataformas exigidas: Android, iPhoneEu preciso: Criar um appTipo de aplicativo: JogoPrecisa de back-end: NãoGateway de pagamento: Não colapsar",R$ 5.000 - 16.000
Desenho e criação de artes para postagem em rede social,"Preciso desenvolver um padrão de postagem nas redes sociais além da criação de artes com as fotos dos meus projetos já executados e em desenvolvimentoCategoria: TI e ProgramaçãoSubcategoria: Web DesignQual é o alcance do projeto?: Pequena atualização de um design existenteIsso é um projeto ou uma... Ver mais detalhes  posição de trabalho?: Um projetoTenho, atualmente: Eu tenho uma ideia geralDisponibilidade requerida: Conforme necessárioIntegrações de API: Mídias sociais (Facebook, Twitter, etc)Necesidad específica: OutroOutro webdesign: Identidade visual  colapsar",R$ 500 - 1.400
